Dataset Title,Dataset Name,Views,Visits,Resource downloads,Period Name
NI 198q - Children travelling to school - mode of transport usually used - Pupils aged 5-16 - by cycling,ni-198q-children-travelling-to-school-mode-of-transport-usually-used-pupils-aged-5-16-by-cycling,11,4,0,all
Statistical Press Release,statistical_press_release_,11,1,0,all
Annual Leave reports,annual-leave-reports,11,1,0,all
Die-back symptoms in blueberry,die-back-symptoms-in-blueberry,11,7,0,all
Increased Winter Mortality in Scotland,increased_winter_mortality_in_scotland,11,2,0,all
NI 107 - Key Stage 2 attainment for black and minority ethnic groups,ni-107-key-stage-2-attainment-for-black-and-minority-ethnic-groups,11,6,0,all
National Forest Estate Soil,national-forest-estate-soil,11,1,0,all
"Spend over £25,000 in North Middlesex University Hospital NHS Trust",financial-transactions-data-north-middlesex-university-hospital-nhs-trust-april-2011,11,0,0,all
Northern Ireland Summary of Social Security Statistics,northern_ireland_summary_of_social_security_statistics,11,3,0,all
Joint Forest Sector Questionnaire: Provisional,joint_forest_sector_questionnaire-provisional,11,6,0,all
NHS Rotherham CCG Expenditure over £25K April 2013,nhs-rotherham-ccg-expenditure-over-25k-april-2013,11,0,0,all
Next Step/National Careers Service performance monitoring reports,next-step-national-careers-service-performance-monitoring-reports,11,2,0,all
ENPA Former Orchard,enpa-former-orchard,11,1,0,all
Yorkshire & Humberside Business Plan ,yorkshire-humberside-business-plan,11,2,0,all
"Spend over £25,000 in Lincolnshire Community Health Services",spend-over-25-000-in-lincolnshire-community-health-services,11,2,0,all
Households taking up LA / other social landlord tenancies in other authorities under mobility schemes,households-taking-up-la-rsl-tenancies-in-other-authorities-under-mobility-schemes,11,6,0,all
Fish Smoking Area,fish-smoking-area,11,3,0,all
UK Greenhouse Gas End-user emissions estimates,uk-greenhouse-gas-end-user-emissions-estimates,11,1,0,all
financial-transactions-data-hartlepool-primary-care-trust-,hartlepool-pct-spend-over-25000,11,2,0,all
Provider database,provider-database,11,1,0,all
Content Management System (CMS),content-management-system-cms,11,8,0,all
East Cambridgeshire Mid-2010 population estimates,east-cambs-mid-2010-population-estimates,11,3,0,all
UKCP09: 5km gridded data - Annual Average - Winter (Novemberember-Aprilil) coldwave duration,ukcp09-5km-gridded-data-annual-averages-winter-nov-apr-coldwave-duration,11,4,0,all
Agricultural credits,agricultural-credits,11,3,0,all
WEEE Reprocessors and Exporters,weee-reprocessors-and-exporters,11,6,0,all
Scottish Natural Heritage (SNH) Special Areas of Conservation Dataset,scottish-natural-heritage-snh-special-areas-of-conservation-dataset,11,2,0,all
Civil Service Learning,civil-service-learning,11,2,0,all
Barking Havering and Redbridge University Hospitals NHS Trust,barking-havering-and-redbridge-university-hospitals-nhs-trust,11,3,0,all
Eligible but not in priority need,eligible-but-not-in-priority-need,11,9,0,all
Consular Management Information ,consular-management-information,11,0,0,all
Budget and Actuals figures,budget-and-actuals-figures,11,1,0,all
Heritage Library Database,heritage-library-database,11,0,0,all
2011 Census - Census Confidentiality Undertaking CCU,2011-census--census-confidentiality-undertaking-ccu,11,2,0,all
Buoy Reports,buoy-reports,11,2,0,all
Water Quality Exemptions,water-quality-exemptions,11,3,0,all
AFBI - Marine - Fisheries Closures - Cod Boxes (Metadata),afbi-marine-fisheries-closures-cod-boxes-metadata,11,5,0,all
"NUTS, level 2 (E+W) Jan 2012 Boundaries (Generalised, Clipped)",nuts-level-2-ew-jan-2012-boundaries-generalised-clipped,11,1,0,all
Employment and Support Allowance database,employment-and-support-allowance-database,11,5,0,all
North Lincolnshire Council Regionally Important Geological and Geomorphological Sites,north-lincolnshire-council-regionally-important-geological-and-geomorphological-sites,11,6,0,all
Article 4 Directions v5,article-4-directions-v5,11,0,0,all
Allerdale Conservation Areas,allerdale-conservation-areas,11,0,0,all
Infrastructure Directorate Portfolio Plan,infrastructure-directorate-portfolio-plan,11,0,0,all
Health and Safety Incidents,health-and-safety-incidents_1,11,0,0,all
NERC Isotope Geosciences Laboratories (NIGL) Project Records,nerc-isotope-geosciences-laboratories-nigl-project-records,11,4,0,all
Records of mineral exploration,records-of-mineral-exploration1,11,0,0,all
Important Urban Open Spaces,important-urban-open-spaces,11,0,0,all
"spend over £25,000 in the Trust",finanace-expenditure-april-2013,11,1,0,all
Ancient Woodlands (England),ancient-woodlands-england,11,0,0,all
Provisional Accident & Emergency Quality Indicators for England. Experimental Statistics by provider for June 2012,provisional-accident-emergency-quality-indicators-for-england-experimental-statistics-for-june-2012,11,3,0,all
Senior Civil Service Database (HMRC),senior-civil-service-database-hmrc,11,3,0,all
VAT registered enterprises totals only - urban/rural,vat_registered_enterprises_totals_only_-_urban-rural,11,4,0,all
Regional Water and Waste Data,regional-water-and-waste-data,11,1,0,all
Accommodation Management Information System (Accommis) Database,accommodation-management-information-system-accommis-database,11,3,0,all
United Kingdom Butterfly Monitoring Scheme: collated indices 2012,united-kingdom-butterfly-monitoring-scheme-collated-indices-2012,11,4,0,all
Caddisfly (Trichoptera) records from Britain and Ireland to 2003 ,caddisfly-trichoptera-records-from-britain-and-ireland-to-2003,11,7,0,all
VTS spend over £500,vts-financial-transactionsfeb-may12,11,0,0,all
Chemical Weapons Convention Inspectors database,chemical-weapons-convention-inspectors-database,11,6,0,all
2001 Census Area Statistics (CAS) Sectors,2001-census-area-statistics-cas-sectors,11,2,0,all
Forester Agreements,forester-agreements,11,1,0,all
Online Vetting Application Spreadsheet,online-vetting-application-spreadsheet,11,6,0,all
Northern Ireland Ports Survey,northern_ireland_ports_survey_,11,1,0,all
Statistical Press Release,statistical_press_release,11,3,0,all
Housing Land Audit 2013,housing-land-audit-2013,11,2,0,all
OFT Non-consolidated performance related pay - 2010-11,oft-non-consolidated-performance-related-pay-2010-11,11,1,0,all
"Spend over £25,000 in the Forestry Commission",fc-over-25k-1011,11,0,0,all
financial-transactions-data-west-midlands-strategic-health-authority-july-2012,financial-transactions-data-west-midlands-strategic-health-authority-july-2012,11,5,0,all
Windermere fish abundance 1940-2012,windermere-fish-abundance-1940-20121,11,7,0,all
Physiological heterogeneity within soil bacterial communities in Sourhope,physiological-heterogeneity-within-soil-bacterial-communities-in-sourhope,11,6,0,all
"Countries (E+W) Dec 2012 Boundaries (Full, Extent)",countries-ew-dec-2012-boundaries-full-extent,11,2,0,all
Statistics on NHS stop smoking services in England,statistics_on_nhs_stop_smoking_services_in_england_,11,0,0,all
GSNI Regional Gravity Survey (Metadata),gsni-regional-gravity-survey-metadata,11,5,0,all
Digital Geological Map Data of Northern Ireland - 250k (DiGMapNI-250) Version 2,digital-geological-map-data-of-northern-ireland-250k-digmapni-250-version-2,11,3,0,all
Payments to suppliers over £500 for April 2013 from Acas,payments-to-suppliers-over-500-for-april-2013-from-acas,11,0,0,all
Interserve Helpdesk,interserve-helpdesk,11,9,0,all
River Basin Management Plan,river-basin-management-plan,11,0,0,all
Human Relations - Payroll & services,human-relations--payroll-services,11,0,0,all
Breast Screening Data,breast-screening-data,11,1,0,all
Article 4 Directives,article-4-directives1,11,1,0,all
NHS Doncaster CCG Expenditure over £25K Sep 2013,nhs-doncaster-ccg-expenditure-over-25k-sep-2013,11,0,0,all
Civil Service survey ,civil-service-survey,11,1,0,all
ESRC expenditure in April 2013,esrc-expenditure-in-april-2013,11,0,11,all
Personal licence register,personal-licence-register,11,0,0,all
SCORE (Scottish Continuous Recording System) Annual Summary Report,score_scottish_continuous_recording_system_annual_summary_report,11,8,0,all
2001 Output Area Household Weighted Centroids,2001-output-area-household-weighted-centroids,11,0,0,all
Freedom of Information Log,freedom-of-information-log,11,2,0,all
Prompt Payment statistics for April 2012 from Acas,prompt-payment-statistics-for-april-2012-from-acas,11,3,0,all
Survey of Agricultural Production Methods,survey_of_agricultural_production_methods,11,6,0,all
Online research catalogue: Asante Gold Regalia in the The British Museum collection,online-research-catalogue-asante-gold-regalia-in-the-the-british-museum-collection,11,4,0,all
Northern Ireland Health & Social Care Inequalities Monitoring System: An equality analysis of mortality within NI,northern_ireland_health_social_care_inequalities_monitoring_system-an_equality_analysis_of_mortality,11,5,0,all
ONS VML Foreign Direct Investment (AFDI),ons-vml-foreign-direct-investment-afdi,11,6,0,all
Newborn Infant Physical Examination,newborn-infant-physical-examination,11,4,0,all
WEEE Received Approved Exporters UK Summary,weee-received-approved-exporters-uk-summary-afa317,11,2,0,all
CEDaR NIEA River Ecology Alien Species (Pre-defined Download),cedar-niea-river-ecology-alien-species-pre-defined-download,11,3,0,all
Immigration Statistics: entry clearance visas granted outside the UK,immigration-statistics-entry-clearance-visas,11,0,0,all
News release,news_release,11,1,0,all
Farm Income Estimates,farm_income_estimates,11,2,0,all
Over £25K expenditure  Oct 13,over-25k-expenditure-oct-13,11,0,0,all
Mines,mines,11,0,0,all
VOA Non domestic rating - customer details,voa-non-domestic-rating--customer-details_1,11,1,0,all
CRoW Act 2000 - Section 4 Conclusive Open Country,crow-act-2000-section-4-conclusive-open-country,11,3,0,all
Plaice Annual Data Files for Stock Assessments,plaice-annual-data-files-for-stock-assessments,11,6,0,all
"Spend over £25,000 in Newham University Hospital NHS Trust",financial-transactions-data-newham-university-hospital-nhs-trust-january-2011,11,4,0,all
"Defence Commodity Information

BFPO Database

",defence-commodity-informationbfpo-database,11,6,0,all
Soil map of the Moor House National Nature Reserve WMS,soil-map-of-the-moor-house-national-nature-reserve-wms,11,1,0,all
North Norfolk District Council Local Development Framework Car Parks,north-norfolk-district-council-local-development-framework-car-parks,11,2,0,all
An index of cancer survival for Primary Care Trusts in England,an_index_of_cancer_survival_for_primary_care_trusts_in_england_,11,2,0,all
bhr_exp_above_£25k-August-12,bhr-exp-above-25k-august-12,11,0,0,all
DOE Marine Division Water Framework Directive Marine Plants Monitoring (INSPIRE View Service),doe-marine-division-water-framework-directive-marine-plants-monitoring-inspire-view-service,11,4,0,all
2011 Detailed Characteristic Sector,2011-detailed-characteristic-sector,11,2,0,all
Promotional material distribution lists,promotional-material-distribution-lists,11,1,0,all
Map based index (GeoIndex) regional airborne magnetic surveys and flight lines,map-based-index-geoindex-regional-airborne-magnetic-surveys-and-flight-lines,11,1,0,all
AFBI Soil Geochemical Map of extractable Lead for Northern Ireland (Metadata).,afbi-soil-geochemical-map-of-extractable-lead-for-northern-ireland-metadata,11,5,0,all
B'ham Cross City >25K January,b-ham-cross-city-25k-january,11,0,0,all
North Lincolnshire Council Local flood risk management strategy - Significant Infrastructure - Links,north-lincolnshire-council-local-flood-risk-management-strategy-significant-infrastructure-li,11,4,0,all
Monthly Customer Satisfaction Survey,monthly-customer-satisfaction-survey,11,8,0,all
Life Expectancy in Special Areas in Scotland,life_expectancy_in_special_areas_in_scotland,11,5,0,all
Radiology Data,radiology-data,11,5,0,all
In year Business Forecast Reviews,in-year-business-forecast-reviews,11,3,0,all
CBC_Town_Centre_Classification,cbc-town-centre-classification,11,1,0,all
KH-4B CORONA Satellite Panchromatic Image for a Partial Area Extending across the Syrian and Turkish Border in the Al-Jazīrah Region of Syria,kh-4b-corona-satellite-panchromatic-image-for-a-partial-area-extending-across-the-syrian-and-tu2,11,3,0,all
Alumni Database for Future International Leaders Programme ,alumni-database-for-future-international-leaders-programme-_1,11,7,0,all
Medical and Dental survey,medical-and-dental-survey,11,1,0,all
Map based index (GeoIndex) hydrogeological maps,map-based-index-geoindex-hydrogeological-maps,11,3,0,all
"Spend over £25,000 in NHS North Staffordshire",northstaffordshire-financial-transactions,11,1,0,all
"Specific Area Policies - Hurst Lane, Stroude (Local Plan Policy GB13)",specific-area-policies-hurst-lane-stroude-local-plan-policy-gb13,11,5,0,all
Swath Bathymetry (AfA150),swath-bathymetry-afa150,11,5,0,all
Halton Employment Land Availability 2010,halton-employment-land-availability-2010,11,2,0,all
CEDaR ESA Monitoring (INSPIRE View Service),cedar-esa-monitoring-inspire-view-service,11,5,0,all
Reservoir peak flow and flow regulated rivers ,reservoir-peak-flow-and-flow-regulated-rivers,11,8,0,all
One North East Organagram 31 May 2011,one-north-east-31-may-2011,11,0,0,all
NI 044d - Ethnic composition of offenders on Youth Justice System disposals - Asian or asian british,ni-044d-ethnic-composition-of-offenders-on-youth-justice-system-disposals-asian-or-asian-british,11,4,0,all
Document preservation and treatment ,document-preservation-and-treatment,11,2,0,all
"Land Cover Map 2007 (1km dominant target class, N. Ireland)",land-cover-map-2007-1km-dominant-target-class-n-ireland,11,1,0,all
NYMNPA Development Policy 23 - New Development and Transport,nymnpa-development-policy-23-new-development-and-transport,11,2,0,all
ARB UK | Organisation chart ,arb-uk-organisation-chart,11,0,0,all
Index of Deprivation 2004 - Adult Skills sub-domain,id_2004_adult_skills_sub-domain,11,7,0,all
Information Asset Register,information-asset-register_2,11,2,0,all
